Country,CountryID,1999-Cheese,2000-Cheese,2001-Cheese,2002-Cheese,2003-Cheese,2004-Cheese,2005-Cheese,2006-Cheese,2007-Cheese,2008-Cheese,2009-Cheese,2010-Cheese,2011-Cheese,2012-Cheese,2013-Cheese,2014-Cheese,1999-Other,2000-Other,2001-Other,2002-Other,2003-Other,2004-Other,2005-Other,2006-Other,2007-Other,2008-Other,2009-Other,2010-Other,2011-Other,2012-Other,2013-Other,2014-Other
Canada,124,,,,,,,,,,,,,,,,,43.4,32.0,57.8,41.9,31.5,58.4,65.2,52.0,60.3,35.0,34.1,48.1,47.7,56.8,64.6,69.6
Mexico,484,,,,,,,,,,,,,,,,,3.7,6.9,6.4,8.6,21.2,27.8,38.1,41.1,38.9,46.5,41.4,49.7,52.0,61.2,63.9,63.4
China,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,73.1,68.5,71.2,89.6,107.9,131.2,123.6,134.1,149.0,154.2,140.7,142.0,182.7,165.9,193.5,198.2,1.8,3.4,1.8,2.2,2.0,3.3,2.6,2.1,3.2,3.4,2.8,2.9,3.3,3.8,6.3,15.3
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,146.0,145.3,162.5,165.3,210.4,223.1,220.3,241.0,300.9,325.7,266.9,277.2,311.5,301.3,309.7,307.5,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,32.6,22.2,8.2,11.8,10.7,20.3,17.2,15.8,14.8,17.0,9.6,8.0,10.9,11.8,18.6,32.4
United Kingdom,826,27.2,19.0,25.4,28.4,26.5,33.3,33.6,37.4,43.0,43.3,28.4,32.3,39.9,42.3,50.1,62.2,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,80.4,89.6,119.9,98.7,124.7,145.8,175.4,197.3,188.7,264.2,210.1,226.4,264.1,301.8,251.4,316.8
Netherlands,528,35.7,40.5,43.5,42.3,51.8,55.6,59.6,64.2,64.4,71.8,55.9,59.3,75.5,71.9,76.0,96.8,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0,4.4,5.9,9.3,12.3
Guatemala,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,5.1,7.0,8.5,11.5,16.5,21.1,25.8,31.6,37.1,42.5,40.5,45.8,56.7,59.3,79.1,96.2,,,,,,,,,,,,,,,,
Colombia,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,31.8,30.1,30.8,35.0,42.1,46.8,47.2,44.9,51.9,57.2,49.8,61.8,60.8,65.3,82.0,82.6,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,208,53.3,51.5,50.8,56.1,65.6,70.9,67.4,63.7,67.8,67.7,46.8,46.3,49.4,49.1,54.5,55.9,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of world,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
