Country,CountryID,1999-Tree,2000-Tree,2001-Tree,2002-Tree,2003-Tree,2004-Tree,2005-Tree,2006-Tree,2007-Tree,2008-Tree,2009-Tree,2010-Tree,2011-Tree,2012-Tree,2013-Tree,2014-Tree,1999-Cashew,2000-Cashew,2001-Cashew,2002-Cashew,2003-Cashew,2004-Cashew,2005-Cashew,2006-Cashew,2007-Cashew,2008-Cashew,2009-Cashew,2010-Cashew,2011-Cashew,2012-Cashew,2013-Cashew,2014-Cashew,1999-Prepared,2000-Prepared,2001-Prepared,2002-Prepared,2003-Prepared,2004-Prepared,2005-Prepared,2006-Prepared,2007-Prepared,2008-Prepared,2009-Prepared,2010-Prepared,2011-Prepared,2012-Prepared,2013-Prepared,2014-Prepared,1999-Ground,2000-Ground,2001-Ground,2002-Ground,2003-Ground,2004-Ground,2005-Ground,2006-Ground,2007-Ground,2008-Ground,2009-Ground,2010-Ground,2011-Ground,2012-Ground,2013-Ground,2014-Ground
Canada,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.8,6.4,8.3,7.0,9.0,9.3,10.6,11.6,14.2,12.3,13.3,21.7,26.2,34.1,53.3,23.8,23.4,24.0,21.7,19.2,19.1,19.9,21.5,23.1,31.2,25.9,20.6,22.8,50.0,55.4,43.3
Mexico,484,71.0,79.8,36.2,60.8,91.4,143.5,137.5,166.3,153.9,176.6,219.4,217.0,302.8,300.6,272.4,406.0,,,,,,,,,,,,,,,,,0.1,0.1,1.2,1.3,1.6,1.3,1.9,2.1,3.2,4.7,7.8,12.1,19.0,17.9,18.4,31.2,4.0,7.9,11.2,10.3,7.8,4.3,8.8,8.6,12.0,18.0,15.2,19.7,28.5,46.9,33.6,33.9
China,156,29.5,18.2,23.9,34.8,39.2,60.2,68.6,81.5,86.8,102.8,101.9,102.2,82.1,109.0,108.6,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.9,4.4,4.0,6.3,5.5,5.8,6.7,8.2,7.9,4.1,4.9,10.8,14.6,7.5,8.1
India,356,296.8,248.6,222.2,220.0,193.3,257.2,267.2,219.7,204.5,242.3,174.5,190.9,317.8,284.4,284.3,229.8,287.0,241.4,215.3,212.8,185.1,251.3,261.4,215.0,198.1,233.2,169.3,184.9,307.6,265.6,265.0,214.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,114.9,150.8,94.5,85.0,116.8,153.8,157.8,146.1,167.0,132.5,155.9,147.6,149.2,110.8,72.7,50.9,97.3,125.9,81.6,72.5,100.3,125.0,120.4,123.4,145.3,120.3,146.4,139.7,141.4,102.8,59.8,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,19.4,22.9,13.5,9.2,14.1,33.1,26.7,16.9,14.1,15.9,16.1,16.2,13.5,19.9,36.1,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,6.3,5.5,3.2,1.9,2.1,3.0,7.5,6.0,9.7,11.5,6.6,6.9,6.7,8.9,14.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,23.3,50.6,47.7,70.5,99.7,173.8,167.6,167.7,221.1,277.0,258.3,351.9,410.2,399.6,526.9,633.6,22.9,50.4,47.6,69.6,97.2,167.3,152.5,152.0,197.7,256.2,245.9,341.6,400.2,387.6,508.3,606.7,0.4,0.1,0.1,0.9,1.7,4.2,14.5,16.4,24.4,20.8,12.1,10.1,9.7,11.4,17.8,26.1,,,,,,,,,,,,,,,,
Thailand,764,8.4,7.8,9.2,7.0,9.9,16.8,20.6,19.6,19.7,25.7,37.8,43.1,59.4,67.1,80.1,100.4,0.1,0.2,0.0,0.0,0.1,0.3,1.0,0.1,0.1,0.0,2.9,4.9,7.8,8.4,10.4,11.0,6.6,6.1,7.3,4.7,7.5,13.6,16.5,15.9,14.4,19.2,27.3,29.8,41.3,44.8,53.9,68.8,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,36.8,43.4,39.1,12.6,2.9,3.9,6.5,17.0,27.0,12.6,14.6,31.2,117.0,28.1,21.0
Philippines,608,44.2,40.7,28.8,34.6,36.3,33.6,38.2,36.7,49.2,53.6,54.0,49.9,110.7,96.5,72.4,113.3,,,,,,,,,,,,,,,,,43.4,40.1,28.2,34.3,35.5,33.3,37.8,36.6,49.1,53.6,53.9,49.6,110.2,87.3,60.5,111.7,,,,,,,,,,,,,,,,
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,0.4,0.3,0.4,0.3,0.0,0.0,0.3,0.2,0.6,1.2,2.5,3.4,5.0,11.9,17.1,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.1,2.3,4.0,0.6,1.2,0.0,0.1,1.1,2.6,3.5,2.4,1.2,11.1,2.5,1.1
Turkey,792,26.3,19.7,22.6,19.5,23.9,29.2,30.8,36.0,32.2,39.3,23.7,38.8,39.8,37.4,51.5,53.8,,,,,,,,,,,,,,,,,1.0,1.8,2.2,1.4,5.0,5.5,9.4,9.1,9.9,12.1,8.4,12.2,14.5,13.9,20.4,26.4,,,,,,,,,,,,,,,,
Denmark,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.7,1.3,1.0,1.5,2.3,3.4,3.4,6.7,8.0,7.4,9.4,13.8,18.9,31.4,39.0,,,,,,,,,,,,,,,,
South Africa,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
