Country,CountryID,1999-Fresh,2000-Fresh,2001-Fresh,2002-Fresh,2003-Fresh,2004-Fresh,2005-Fresh,2006-Fresh,2007-Fresh,2008-Fresh,2009-Fresh,2010-Fresh,2011-Fresh,2012-Fresh,2013-Fresh,2014-Fresh,1999-Frozen,2000-Frozen,2001-Frozen,2002-Frozen,2003-Frozen,2004-Frozen,2005-Frozen,2006-Frozen,2007-Frozen,2008-Frozen,2009-Frozen,2010-Frozen,2011-Frozen,2012-Frozen,2013-Frozen,2014-Frozen,1999-Dried,2000-Dried,2001-Dried,2002-Dried,2003-Dried,2004-Dried,2005-Dried,2006-Dried,2007-Dried,2008-Dried,2009-Dried,2010-Dried,2011-Dried,2012-Dried,2013-Dried,2014-Dried,1999-Preserved,2000-Preserved,2001-Preserved,2002-Preserved,2003-Preserved,2004-Preserved,2005-Preserved,2006-Preserved,2007-Preserved,2008-Preserved,2009-Preserved,2010-Preserved,2011-Preserved,2012-Preserved,2013-Preserved,2014-Preserved
Canada,124,347.9,411.1,453.5,515.4,608.6,661.1,729.5,840.4,828.4,923.0,848.2,997.4,"1,065.6","1,013.1","1,208.2","1,204.1",53.9,51.1,49.7,58.9,73.3,82.6,83.8,92.2,110.2,121.6,118.5,118.6,130.5,136.5,133.3,134.5,30.0,35.6,53.2,72.0,61.7,68.5,66.9,61.9,81.3,106.6,102.7,73.4,108.7,147.1,156.1,186.9,363.7,448.2,491.2,508.9,598.1,673.8,626.3,670.9,711.2,765.1,772.1,768.2,815.8,843.6,913.9,886.4
Mexico,484,"1,310.6","1,407.6","1,613.8","1,617.8","1,935.2","2,184.7","2,319.1","2,576.5","2,807.0","2,949.0","2,844.5","3,620.2","4,057.9","4,056.5","4,591.1","4,667.5",155.6,149.4,156.5,158.8,167.7,188.1,210.3,197.9,230.2,274.9,268.3,299.6,352.4,355.3,371.5,395.3,21.5,20.4,16.7,19.5,14.9,24.9,29.4,24.5,29.5,37.6,34.9,42.3,34.0,42.0,52.0,56.6,118.9,118.8,137.5,133.7,165.9,207.9,247.8,238.7,232.6,223.3,253.1,269.6,310.3,307.8,316.0,322.4
China,156,3.6,3.5,9.2,26.8,30.0,47.4,61.9,81.3,107.5,83.6,75.5,128.4,113.2,150.2,196.7,140.0,17.9,15.2,15.9,16.2,18.7,29.9,33.8,48.3,65.8,72.4,73.7,66.6,75.3,70.3,58.9,63.3,40.9,35.0,36.1,46.0,49.5,58.9,69.5,107.9,125.4,125.6,105.1,156.0,195.6,166.3,173.5,175.3,47.5,43.6,53.5,53.6,73.5,85.7,87.9,90.4,131.1,144.2,122.0,142.9,167.2,192.7,136.5,131.6
India,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,36.8,22.7,22.1,28.8,22.6,27.6,33.6,24.0,31.7,20.0,36.4,70.0,177.9,82.1,80.7,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,1.8,2.7,5.9,9.0,12.2,13.6,15.4,20.5,26.6,26.7,25.9,24.8,23.5,26.8,22.0,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,50.1,50.1,63.1,78.9,97.3,119.2,140.1,157.3,193.1,184.4,197.5,238.0,232.4,268.5,326.2,318.6,7.4,5.9,8.4,9.7,10.5,11.4,11.8,15.9,20.2,28.5,23.9,27.0,36.4,40.2,38.8,31.6,,,,,,,,,,,,,,,,,17.3,5.1,7.9,14.4,17.2,30.4,61.3,92.7,105.0,153.4,145.6,156.7,196.6,191.5,177.1,198.8
Guatemala,320,7.9,8.8,8.7,8.8,10.9,13.8,20.9,23.0,31.2,40.2,54.4,57.4,78.8,76.4,90.7,94.3,33.9,29.7,24.7,30.7,37.3,42.7,37.0,37.8,46.4,70.8,54.7,38.8,54.4,69.6,63.3,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,218.5,222.2,232.8,275.2,299.8,285.6,259.2,284.6,291.3,269.7,303.5,275.5,268.6,270.2,296.1
Colombia,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,44.3,45.1,51.0,48.8,45.8,60.2,69.4,61.7,69.5,86.6,68.6,73.3,82.3,82.9,94.1,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5.6,6.1,7.1,8.0,9.7,12.7,18.0,21.7,25.7,22.1,20.0,23.2,22.5,22.4,19.6,,,,,,,,,,,,,,,,
Denmark,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
